date,id,num,pi
2017-11-14,1,6015279,0.03243870369713857
2017-11-14,2,814856,0.004394288667214862
2017-11-14,10,97097557,0.5236197491818788
2017-11-14,15,1010302,0.005448273841101384
2017-11-14,17,2755539,0.014859844929372272
2017-11-14,19,141148,0.0007611713686835996
2017-11-14,20,154872,0.0008351810313342481
2017-11-14,22,7753285,0.04181128004112012
2017-11-14,23,16643490,0.08975364909861851
2017-11-14,24,28047357,0.15125148861937499
2017-11-14,25,1571196,0.008473017044451194
2017-11-14,26,15926296,0.08588602406254527
2017-11-14,27,966237,0.005210643719802868
2017-11-14,28,6537832,0.0352566846973633
2017-11-15,1,9506075,0.0447460064245457
2017-11-15,2,490043,0.0023066793841100192
2017-11-15,10,100808098,0.47451338231123075
2017-11-15,15,1110165,0.005225653092607178
2017-11-15,17,7382888,0.034751961653963534
2017-11-15,19,883209,0.004157349441090733
2017-11-15,20,161231,0.000758929775100231
2017-11-15,22,8407922,0.039576894967594846
2017-11-15,23,24481858,0.11523845281599564
2017-11-15,24,28235702,0.13290815642560763
2017-11-15,25,2205982,0.010383768773592907
2017-11-15,26,15069357,0.0709329081809025
2017-11-15,27,1963810,0.00924384195123509
2017-11-15,28,11738876,0.05525601480242323
2017-11-16,1,9882722,0.04346625472123856
2017-11-16,2,769861,0.0033860078555227433
2017-11-16,10,106066813,0.4665037740946246
2017-11-16,15,737925,0.0032455467243913123
2017-11-16,17,4412872,0.01940872346750434
2017-11-16,19,1442243,0.006343282914152928
2017-11-16,20,224426,0.0009870719506294605
2017-11-16,22,8423782,0.03704953494879087
2017-11-16,23,21543134,0.09475115762011467
2017-11-16,24,36124139,0.15888143239882976
2017-11-16,25,2013912,0.008857601375224252
2017-11-16,26,16287015,0.07163365949569694
2017-11-16,27,2200807,0.009679604227892363
2017-11-16,28,17235740,0.07580634820538716
2017-11-17,1,13095583,0.06766284607249339
2017-11-17,2,1382660,0.00714398975216252
2017-11-17,10,71951966,0.3717646476732863
2017-11-17,15,549977,0.002841645850697269
2017-11-17,17,3938070,0.020347396846150646
2017-11-17,19,443611,0.0022920692273925387
2017-11-17,20,519452,0.0026839279105060716
2017-11-17,22,7180424,0.03710013703454342
2017-11-17,23,19618967,0.10136815934214821
2017-11-17,24,42336053,0.21874381900033943
2017-11-17,25,2135193,0.011032211035893963
2017-11-17,26,13948862,0.07207160631126176
2017-11-17,27,3451566,0.017833706140998207
2017-11-17,28,12989327,0.06711383780212628
2017-11-18,1,15843530,0.08048657109745837
2017-11-18,2,1884048,0.009571134924036767
2017-11-18,10,71341340,0.3624204854661777
2017-11-18,15,721017,0.003662831833119017
2017-11-18,17,2696984,0.01370092362400978
2017-11-18,19,472936,0.0024025578257211347
2017-11-18,20,750011,0.003810123985966249
2017-11-18,22,7526963,0.038237655538092746
2017-11-18,23,14912229,0.0757554774491594
2017-11-18,24,48933568,0.24858696893206966
2017-11-18,25,1896526,0.009634524297121812
2017-11-18,26,4939537,0.025093296502674986
2017-11-18,27,4834269,0.024558525503643378
2017-11-18,28,20093917,0.102078923020749
2017-11-19,1,22756214,0.10581712305831636
2017-11-19,2,2838841,0.013200701462905643
2017-11-19,10,71648075,0.33316584073108474
2017-11-19,15,530225,0.002465563211595558
2017-11-19,17,3493797,0.016246267814574805
2017-11-19,20,993740,0.004620922789176236
2017-11-19,22,8072235,0.03753615097619702
2017-11-19,23,15135247,0.07037938271792547
2017-11-19,24,54200341,0.2520333194880181
2017-11-19,25,970005,0.004510554279907113
2017-11-19,26,5933342,0.02759023010422898
2017-11-19,27,5532915,0.025728231744797464
2017-11-19,28,22947307,0.10670571162127253
2017-11-20,1,29379058,0.11431535140465367
2017-11-20,2,4893477,0.019040758313135515
2017-11-20,10,90979245,0.35400469146100877
2017-11-20,15,1026387,0.003993722010493607
2017-11-20,17,3481708,0.013547496094272115
2017-11-20,19,1126715,0.004384103164842602
2017-11-20,20,1161236,0.004518426064026097
2017-11-20,22,8120023,0.031595406587197936
2017-11-20,23,16660836,0.06482812764232619
2017-11-20,24,63012378,0.24518424429785557
2017-11-20,25,1196331,0.004654982425279964
2017-11-20,26,6626486,0.02578398108162685
2017-11-20,27,4871354,0.018954676638252503
2017-11-20,28,24464877,0.09519403281502863
2017-11-21,1,37277548,0.1368652440292318
2017-11-21,2,3627400,0.013318069798787073
2017-11-21,10,106261890,0.3901426002015312
2017-11-21,15,1054855,0.003872920691845272
2017-11-21,17,4660018,0.01710934691172855
2017-11-21,19,1836934,0.006744338983229072
2017-11-21,20,1254163,0.004604683898400009
2017-11-21,22,6495300,0.023847620544759796
2017-11-21,23,12498055,0.0458868525222142
2017-11-21,24,59368425,0.21797232949055947
2017-11-21,25,1001893,0.0036784696766047798
2017-11-21,26,8262095,0.03033444282246504
2017-11-21,27,4323932,0.015875400612341894
2017-11-21,28,24444288,0.08974767981630184
2017-11-22,1,37496964,0.13233598834230947
2017-11-22,2,3954828,0.013957558593379429
2017-11-22,10,126800422,0.44750980819652286
2017-11-22,15,1142749,0.004033041670845294
2017-11-22,17,3506168,0.012374127344661251
2017-11-22,19,2173885,0.007672173672981136
2017-11-22,20,1249486,0.004409742738902245
2017-11-22,22,7030946,0.024813933946529844
2017-11-22,23,11504822,0.04060334031502778
2017-11-22,24,53277709,0.18803011030783603
2017-11-22,25,1950246,0.006882896757205082
2017-11-22,26,8410512,0.02968276092925427
2017-11-22,27,5204900,0.01836936947009594
2017-11-22,28,19643051,0.06932514771444938
2017-11-23,1,43826288,0.1570645902577101
2017-11-23,2,4077562,0.014613161050290386
2017-11-23,10,131043898,0.4696349402245327
2017-11-23,15,675938,0.0024224256685762675
2017-11-23,17,5331085,0.01910553504221084
2017-11-23,19,2449628,0.008778973434935075
2017-11-23,20,87397,0.0003132132476004605
2017-11-23,22,5155269,0.01847544590482486
2017-11-23,23,11529980,0.04132112636095469
2017-11-23,24,42442249,0.15210447320568665
2017-11-23,25,2491987,0.00893077956048982
2017-11-23,26,6531074,0.023406053959048136
2017-11-23,27,6284476,0.02252229638805853
2017-11-23,28,17106705,0.061306985695081466
2017-11-24,1,34595756,0.11675234781073444
2017-11-24,2,3318492,0.011199111595975522
2017-11-24,10,146023610,0.4927945295746403
2017-11-24,15,1070911,0.003614066810574726
2017-11-24,17,6363933,0.021476741802093028
2017-11-24,19,2628577,0.00887081456324576
