,date,id,num,pi
1612,2018-03-10,10,45990168,0.1661158856160314
1625,2018-03-11,10,53867094,0.183778059403289
1638,2018-03-12,10,62373113,0.2007213966638866
1651,2018-03-13,10,84378523,0.2459468435558521
1664,2018-03-14,10,101963628,0.2748276120506509
1677,2018-03-15,10,178131743,0.4184327277160831
1690,2018-03-16,10,197934239,0.4612178127839201
1703,2018-03-17,10,191650773,0.4417567550426399
1716,2018-03-18,10,202880421,0.4356439091353136
1729,2018-03-19,10,218057650,0.4321917826097967
1742,2018-03-20,10,218894460,0.4276520959142311
1755,2018-03-21,10,233671658,0.444308564984596
1768,2018-03-22,10,251879864,0.4546379365972111
1781,2018-03-23,10,263923805,0.4675483218538104
1794,2018-03-24,10,271753930,0.4675164866638098
1807,2018-03-25,10,240676921,0.478794658694367
1820,2018-03-26,10,159462346,0.3698770031391695
1833,2018-03-27,10,161952016,0.3683339902878893
1846,2018-03-28,10,64292813,0.1904472458320922
1859,2018-03-29,10,72180720,0.2004031795221511
1872,2018-03-30,10,69625335,0.2231839406578025
1886,2018-03-31,10,76019535,0.2248688808512611
1900,2018-04-01,10,80810681,0.2265084783951273
1914,2018-04-02,10,78184282,0.2118809987876642
1928,2018-04-03,10,87393833,0.2281474405221052
1942,2018-04-04,10,93361496,0.2399114163389617
1956,2018-04-05,10,101737786,0.2509582755767081
1970,2018-04-06,10,117067118,0.2772396175215403
1984,2018-04-07,10,123695890,0.2940556638433754
1998,2018-04-14,10,236977089,0.4313000480982447
2013,2018-04-15,10,257358899,0.4498322356818758
2028,2018-04-16,10,289573750,0.4694755816358615
2043,2018-04-17,10,286139389,0.4569334271183184
2058,2018-04-18,10,297150116,0.4511867549270113
2073,2018-04-19,10,307016414,0.4707827742732557
2088,2018-04-20,10,322582327,0.489095352984649
2103,2018-04-21,10,308778141,0.4761336039059499
2118,2018-04-22,10,326028143,0.48208640810263
2133,2018-04-23,10,347432486,0.5039226148998616
2148,2018-04-24,10,371726662,0.525618305318942
2163,2018-04-25,10,374724247,0.5120712192802294
2177,2018-04-26,10,403387678,0.5086236021148979
2191,2018-04-27,10,437154921,0.5123119012186207
2205,2018-04-28,10,345054668,0.4496009226548699
2219,2018-04-29,10,381491987,0.4630135642994319
2233,2018-04-30,10,385088816,0.4708486620767659
2246,2018-05-01,10,357467032,0.4472330058341627
2259,2018-05-02,10,298311681,0.4141878451990517
2272,2018-05-03,10,321960564,0.42132456343263
2285,2018-05-04,10,332181626,0.4394858062933599
2298,2018-05-05,10,375677767,0.4717162951455192
2311,2018-05-06,10,416349203,0.4965189554073618
2323,2018-05-07,10,461794843,0.5164191174999219
2335,2018-05-08,10,523609338,0.55500886990856
2347,2018-05-09,10,575493925,0.5716618577642385
2359,2018-05-10,10,356883267,0.4689168836941114
2371,2018-05-11,10,395940681,0.4891929495435134
2384,2018-05-12,10,401386154,0.5150952179553921
2398,2018-05-13,10,418313728,0.5527541261077367
2411,2018-05-14,10,536870818,0.4740134768800325
2425,2018-05-15,10,497905208,0.5621429508745727
2439,2018-05-16,10,391174678,0.5151391436450727
2454,2018-05-17,10,394515849,0.5063724437595524
2469,2018-05-18,10,421151636,0.5026290980100294
2484,2018-05-19,10,479105838,0.5198577748958629
2499,2018-05-20,10,526339903,0.5303250635703534
2514,2018-05-21,10,527279580,0.5237795036054208
2528,2018-05-22,10,562301991,0.5276466245039627
2542,2018-05-23,10,601737007,0.5370854256862353
2556,2018-05-24,10,602598469,0.5319823052489471
2570,2018-05-25,10,641136176,0.5415755497790137
2584,2018-05-26,10,606596600,0.539287015220374
2598,2018-05-27,10,497438088,0.496557317967583
2613,2018-05-28,10,618508860,0.5429341024599412
2628,2018-05-29,10,683133050,0.5629741495263857
2643,2018-05-30,10,576717511,0.5182543550782649
2658,2018-05-31,10,623459329,0.5441828973017133
2673,2018-06-01,10,650233634,0.536731952604107
2688,2018-06-02,10,574094167,0.5307299233026916
2703,2018-06-03,10,387596213,0.4294835837160661
2718,2018-06-04,10,419503812,0.4493255371144748
2733,2018-06-05,10,447134175,0.457390650343375
2747,2018-06-06,10,468866369,0.4648155834624827
2761,2018-06-07,10,498293218,0.4665053066229824
2774,2018-06-08,10,532187163,0.4801244180149715
2787,2018-06-09,10,498578615,0.4566753415193716
2800,2018-06-10,10,463217828,0.470226632128591
2813,2018-06-11,10,472888411,0.473134346233172
2826,2018-06-12,10,475275963,0.4756430514647581
2839,2018-06-13,10,504521042,0.4900433659412461
2852,2018-06-14,10,494601305,0.4834799203405883
